City Code,Province Code,Country Code,City Name,Province Name,Country Name
PUNCH,JK,IN,Punch,Jammu and Kashmir,India
KLRAI,TN,IN,Keelakarai,Tamil Nadu,India
TIRAP,AR,IN,Tirap,Arunachal Pradesh,India
ZMANI,UP,IN,Zamania,Uttar Pradesh,India
ZAIDR,UP,IN,Zaidpur,Uttar Pradesh,India
ZHEAB,TG,IN,Zaheerabad,Telangana,India
YEOLA,MH,IN,Yeola,Maharashtra,India
YELUR,KA,IN,Yellapur,Karnataka,India
YELDU,TG,IN,Yellandu,Telangana,India
YAVTM,MH,IN,Yavatmal,Maharashtra,India
YAVAL,MH,IN,Yawal,Maharashtra,India
YANAM,PY,IN,Yanam,Puducherry,India
YMUAR,HR,IN,Yamunanagar,Haryana,India
YADGR,KA,IN,Yadgiri,Karnataka,India
WOKHA,NL,IN,Wokha,Nagaland,India
WEAYP,RJ,IN,Weir,Rajasthan,India
WLGTN,TN,IN,Wellington,Tamil Nadu,India
WAIRN,UP,IN,Wazirganj,Uttar Pradesh,India
WAHIM,MH,IN,Washim,Maharashtra,India
KHSAN,HER,AF,Kuhsan,Herat,Afghanistan
ZNDAJ,HER,AF,Zindah Jan,Herat,Afghanistan
ZARGS,PKA,AF,Zarghun Shahr,Paktika,Afghanistan
ZSHAR,PKA,AF,Zarah Sharan,Paktika,Afghanistan
YNIQA,TAK,AF,Yangi Qal`ah,Takhar,Afghanistan
TIRPU,HER,AF,Tir Pul,Herat,Afghanistan
TAGAB,KAP,AF,Tagab,Kapisa,Afghanistan
SIQBA,KAP,AF,Sidqabad,Kapisa,Afghanistan
SANGI,HEL,AF,Sangin,Helmand,Afghanistan
QACIG,BAL,AF,Qarchi Gak,Balkh,Afghanistan
QRAHB,HER,AF,Qarah Bagh,Herat,Afghanistan
QALIN,BDG,AF,Qala i Naw,Badghis,Afghanistan
QALAT,ZAB,AF,Qalat,Zabul,Afghanistan
NLIQV,DAY,AF,Nili,Daykundi,Afghanistan
MBCAK,KAB,AF,Mir Bachah Kot,Kabul,Afghanistan
KHNDU,BDS,AF,Khandud,Badakhshan,Afghanistan
JRMVF,BDS,AF,Jurm,Badakhshan,Afghanistan
FKHAR,TAK,AF,Farkhar,Takhar,Afghanistan
ISAHB,KDZ,AF,Imam Sahib,Kunduz,Afghanistan
DEACH,KDZ,AF,Dasht-e Archi,Kunduz,Afghanistan
